model,price,transmission,miles_per_gallaon,fuel,year,cubic_capacity,milage,color,type,age,car_brand,car_model
2.2 SKYACTIV-D Sport Nav Euro 6 (s/s) 4dr FULL BLACK LEATHER Saloon,6795,Manual,67.3,Diesel,2013,2191.0,96000,Silver,Saloon,11,Mazda, Mazda6
2015 15 MAZDA CX-5,6795,Manual,61.4,Diesel,2015,2191.0,109000,Blue,SUV,9,Mazda, CX-5
D Se-l Lux Nav 2.2 Other,6795,Manual,61.4,Diesel,2015,2200.0,114000,Blue,Other,9,Mazda, CX-5
5 2.0i Kendo Roadster ULEZ FREE SPECIAL EDITION 2 Other,6795,Manual,38.2,Petrol,2011,2000.0,71200,Black,Other,13,Mazda, MX-5
1.5 TS2 Hatchback 5dr Petrol Auto Euro 5 (102 ps) Hatchback,6850,Automatic,44.8,Petrol,2000,1498.0,33250,Grey,Hatchback,24,Mazda, Mazda2
1.3 SE Hatchback,6850,Manual,56.5,Petrol,2014,1349.0,44554,Blue,Hatchback,10,Mazda, Mazda2
2.0 SKYACTIV-G SE Hatchback,6895,Manual,55.4,Petrol,2015,1998.0,90340,Red,Hatchback,9,Mazda, Mazda3
2.2 D SPORT 5d 148 BHP Estate,6895,Manual,64.2,Diesel,2013,2191.0,92000,BLUE,Estate,11,Mazda, Mazda6
1.3 Venture Hatchback,6950,Manual,56.5,Petrol,2013,1349.0,39000,White,Hatchback,11,Mazda, Mazda2
1.5 SE-L 5dr Hatchback,6950,Manual,62.8,Petrol,2015,1496.0,67000,Blue,Hatchback,9,Mazda, MADZA2
HATCHBACK Hatchback,6950,Manual,60.1,Petrol,2016,1496.0,69000,Silver,Hatchback,8,Mazda, MADZA2
SKYACTIV-D Sport Nav SUV,6979,Manual,61.4,Diesel,2015,2200.0,88700,White,SUV,9,Mazda, CX-5
1.5 75 SE 5dr £20 RD TAX Hatchback,6989,Manual,60.1,Petrol,2016,1496.0,58000,Silver,Hatchback,8,Mazda, MADZA2
TAMURA Hatchback,6990,Manual,44.1,Petrol,2012,1598.0,27500,Silver,Hatchback,12,Mazda, MADZA3
1.8 I SE 2d 125 BHP Convertible,6990,Manual,39.8,Petrol,2011,1798.0,51677,BLACK,Convertible,13,Mazda, MX-5
2.2 D SE-L NAV 5d 148 BHP Estate,6990,Manual,61.4,Diesel,2014,2191.0,87892,BLUE,Estate,10,Mazda, CX-5
2.2 D SE-L LUX NAV 5DR Estate,6990,Manual,61.4,Diesel,2015,2191.0,88800,Grey,Estate,9,Mazda, CX-5
2.2 SKYACTIV-D SE-L Lux Nav Euro 6 (s/s) 5dr Other,6990,Manual,61.4,Diesel,2014,2191.0,102000,Red,Other,10,Mazda, CX-5
5 1.8 I SE 2d 125 BHP Convertible,6994,Manual,39.8,Petrol,2011,1798.0,54800,BLUE,Convertible,13,Mazda, MX-5
1.5 SKYACTIV-D SE-L Euro 6 (s/s) 5dr SUV,6994,Manual,70.6,Diesel,2016,1499.0,105000,Black,SUV,8,Mazda, CX-3
1.8i SE Euro 4 2dr 2 Owners,6995,Manual,40.4,Petrol,2009,1798.0,32000,Black,Convertible,15,Mazda, MX-5
I ROADSTER SE Convertible,6995,Manual,40.4,Petrol,2009,1798.0,44000,Grey,Convertible,15,Mazda, MX-5
5 2.0i Miyako Roadster Euro 4 2dr Convertible,6995,Manual,38.2,Petrol,2010,1999.0,45000,Silver,Convertible,14,Mazda, MX-5
1.5 TS2 Auto Euro 5 5dr Hatchback,6995,Automatic,44.8,Petrol,2011,1498.0,47401,ALPINE WHITE,Hatchback,13,Mazda, Mazda2
2.0i Sport 2dr Convertible,6995,Manual,34.5,Petrol,2009,1999.0,52000,Grey,Convertible,15,Mazda, MX-5
1.5 75 SE-L 5dr Hatchback,6995,Manual,60.1,Petrol,2016,1500.0,55169,White,Hatchback,8,Mazda, Mazda2
1.8 I MIYAKO 2DR Manual Convertible,6995,Manual,40.4,Petrol,2010,1798.0,57000,Red,Convertible,14,Mazda, MX-5
I MIYAKO 2-Door Convertible,6995,Manual,40.4,Petrol,2011,1798.0,59821,Silver,Convertible,13,Mazda, MX-5
1.8i SE 2dr Other,6995,Manual,40.4,Petrol,2009,1798.0,60000,Red,Other,15,Mazda, MX-5
R3 4dr [231] Coupe,6995,Manual,24.6,Petrol,2008,2616.0,60335,Blue,Coupe,16,Mazda, RX-8
2.2 D SE-L 4d 148 BHP Saloon,6995,Manual,67.3,Diesel,2015,2200.0,64850,Black,Saloon,9,Mazda, Mazda6
1.6 d Sport Venture MPV,6995,Manual,54.3,Diesel,2014,1560.0,68000,Grey,MPV,10,Mazda, MADZA5
5 2.0 i Sport Tech Convertible,6995,Manual,37.2,Petrol,2013,1999.0,68425,Red,Convertible,11,Mazda, MX-5
2.0 SKYACTIV-G SE-L Nav Euro 5 (s/s) 4dr Saloon,6995,Manual,51.4,Petrol,2013,1998.0,71257,Blue,Saloon,11,Mazda, Mazda6
1.8i SE 2dr Convertible,6995,Manual,39.8,Petrol,2012,1798.0,71907,Black,Convertible,12,Mazda, MX-5
7 SEATER 2.0 VENTURE EDITION 5d 148 BHP MPV,6995,Manual,40.9,Petrol,2013,1999.0,72000,GREY,MPV,11,Mazda, Mazda5
1.5 SKYACTIV-G Sport Nav Euro 6 (s/s) 5dr Hatchback,6995,Manual,56.5,Petrol,2015,1496.0,76000,Blue,Hatchback,9,Mazda, Mazda2
5 2.0 I ROADSTER SPORT TECH 2d 158 BHP Convertible,6995,Manual,37.2,Petrol,2012,1999.0,77000,RED,Convertible,12,Mazda, MX-5
2.2 SKYACTIV-D SE-L Nav Estate,6995,Manual,67.3,Diesel,2015,2191.0,88000,Red,Estate,9,Mazda, Mazda6
2.2 SKYACTIV-D SE Nav Hatchback 5dr Diesel Manual Euro 6 (s/s) (150 ps) Hatchback,6995,Manual,68.9,Diesel,2016,2190.0,90000,Red,Hatchback,8,Mazda, Mazda3
2.2 SKYACTIV-D Sport Nav Fastback Euro 6 (s/s) 4dr HEAD UP+NAV+DAB+REV CAM+BOSE+ Saloon,6995,Manual,72.4,Diesel,2016,2191.0,95000,Silver,Saloon,8,Mazda, Mazda3
6 SE-L Estate,6995,Manual,50.4,Petrol,2018,1998.0,104498,Black,Estate,6,Mazda, Mazda6
Hatchback,6995,Manual,55.4,Petrol,2014,2000.0,108000,Silver,Hatchback,10,Mazda, MADZA3
D SPORT NAV Hatchback,6995,Manual,70.6,Diesel,2017,1499.0,111414,Grey,Hatchback,7,Mazda, CX-3
2.2d SE-L Nav 5dr Estate,6995,Manual,61.4,Diesel,2016,2191.0,116000,Blue,Estate,8,Mazda, CX-5
5 1.8 Sport Convertible,6999,Manual,31.7,Petrol,2004,1839.0,30000,Red,Convertible,20,Mazda, MX-5
CONVERTIBLE Convertible,7000,Manual,36.7,Petrol,2006,1999.0,66000,Grey,Convertible,18,Mazda, MX-5
1.5 SKYACTIV-G SE-L Hatchback,7190,Manual,60.1,Petrol,2015,1496.0,59250,White,Hatchback,9,Mazda, Mazda2
1.3 TS Euro 5 5dr (a/c) Hatchback,7195,Manual,56.5,Petrol,2013,1349.0,18000,Red,Hatchback,11,Mazda, Mazda2
2.2 SKYACTIV-D Sport Nav Euro 6 (s/s) 4dr Saloon,7250,Manual,62.8,Diesel,2013,2191.0,80912,Black,Saloon,11,Mazda, MADZA6
1.5 SKYACTIV-G Tech Edition Hatchback 5dr Petrol Manual Euro 6 (s/s) (90 ps) Hatchback,7250,Manual,62.8,Petrol,2017,1496.0,81937,Black,Hatchback,7,Mazda, MADZA2
2.2 D SPORT NAV 5d 148 BHP Estate,7250,Manual,64.2,Diesel,2016,2191.0,100943,SILVER,Estate,8,Mazda, MADZA6
Hatchback,7282,Manual,44.8,Petrol,2013,1600.0,46186,Black,Hatchback,11,Mazda, Mazda3
1.3 TAMURA 5d 83 BHP Hatchback,7290,Manual,56.5,Petrol,2014,1349.0,12000,WHITE,Hatchback,10,Mazda, Mazda2
2.2 D SPORT 5d 148 BHP Estate,7290,Manual,61.4,Diesel,2014,2191.0,108000,BLACK,Estate,10,Mazda, CX-5
5 Convertible,7295,Manual,40.4,Petrol,2010,1798.0,61586,Silver,Convertible,14,Mazda, MX-5
5 1.8i Venture Euro 5 2dr Convertible,7295,Manual,39.8,Petrol,2013,1798.0,64000,Black,Convertible,11,Mazda, MX-5
1.6 d Sport Venture MPV,7295,Manual,54.3,Diesel,2015,1560.0,63000,Silver,MPV,9,Mazda, Mazda5
1.3 Venture Edition 5dr Hatchback,7315,Manual,56.5,Petrol,2014,1349.0,37623,Blue,Hatchback,10,Mazda, Mazda2
1.6d Sport Venture Euro 5 5dr MPV,7345,Manual,54.3,Diesel,2015,1560.0,63000,White,MPV,9,Mazda, Mazda5
2.0 SPORT NAV 5d 118 BHP Hatchback,7390,Manual,55.4,Petrol,2014,1998.0,70187,RED,Hatchback,10,Mazda, MADZA3
1.5 SKYACTIV-G Sport Nav Hatchback,7390,Manual,62.8,Petrol,2015,1496.0,73500,Black,Hatchback,9,Mazda, Mazda2
HATCHBACK SPECIAL EDITIONS Hatchback,7400,Manual,62.8,Petrol,2015,1496.0,65000,White,Hatchback,9,Mazda, Mazda2
1.5 TS2 ACTIVEMATIC 5d 101 BHP Hatchback,7450,Automatic,44.8,Petrol,2013,1500.0,25560,Silver,Hatchback,11,Mazda, Mazda2
1.8 I ROADSTER SE 2d 125 BHP Convertible,7450,Manual,39.8,Petrol,2011,1800.0,31380,Red,Convertible,13,Mazda, MX-5
DIESEL SALOON Saloon,7450,Manual,72.4,Diesel,2016,2191.0,97000,Silver,Saloon,8,Mazda, MADZA6
2.0 SPORT VENTURE EDITION 5d 148 BHP MPV,7470,Manual,40.9,Petrol,2015,2000.0,92191,Black,MPV,9,Mazda, Mazda5
1.3 VENTURE EDITION 5d 83 BHP Hatchback,7490,Manual,56.5,Petrol,2013,1349.0,25779,GREY,Hatchback,11,Mazda, MADZA2
ISOLA 1.6 TURBO SEE SPEC Convertible,7490,Manual,34.9,Petrol,2001,1598.0,45000,RED,Convertible,23,Mazda, MX-5
2.0 SKYACTIV-G Sport Nav Hatchback,7490,Manual,55.4,Petrol,2014,1998.0,86950,White,Hatchback,10,Mazda, Mazda3
2.2 D SE-L 5d 148 BHP Estate,7490,Manual,61.4,Diesel,2014,2191.0,94052,SILVER,Estate,10,Mazda, CX-5
2.0 SE-L NAV 5d 118 BHP Hatchback,7490,Manual,55.4,Petrol,2016,2000.0,94771,White,Hatchback,8,Mazda, Mazda3
1.5 SE-L 5d 89 BHP Hatchback,7495,Manual,62.8,Petrol,2015,1500.0,41328,Blue,Hatchback,9,Mazda, Mazda2
1.8 i SE Convertible,7495,Manual,39.8,Petrol,2012,1798.0,46000,Black,Convertible,12,Mazda, MX-5
1.5 SE-L 5d 89 BHP Hatchback,7495,Manual,62.8,Petrol,2015,1500.0,47900,Red,Hatchback,9,Mazda, Mazda2
1.6 D SPORT VENTURE EDITION 5d 113 BHP MPV,7495,Manual,54.3,Diesel,2015,1600.0,70000,White,MPV,9,Mazda, Mazda5
2.0 SE 5d 118 BHP Hatchback,7495,Manual,55.4,Petrol,2014,2000.0,77000,White,Hatchback,10,Mazda, Mazda3
D Se Nav 1.5 Other,7495,Manual,74.3,Diesel,2016,1500.0,84000,Blue,Other,8,Mazda, MADZA3
1.5 SPORT BLACK 5d 89 BHP Hatchback,7495,Manual,62.8,Petrol,2017,1496.0,98462,WHITE,Hatchback,7,Mazda, Mazda2
1.6 Tamura Hatchback,7495,Manual,44.8,Petrol,2013,1598.0,21000,Black,Hatchback,11,Mazda, Mazda3
2.2 SKYACTIV-D SE-L Nav Tourer 5dr Diesel Manual Euro 6 (s/s) (150 ps) Estate,7495,Manual,67.3,Diesel,2016,2191.0,92000,Red,Estate,8,Mazda, Mazda6
1.5 D SE-L 5-Door Hatchback,7495,Manual,70.6,Diesel,2016,1497.0,100000,Dynamic Blue,Hatchback,8,Mazda, CX-3
Hatchback,7500,Manual,56.5,Petrol,2013,1349.0,35000,Grey,Hatchback,11,Mazda, Mazda2
2.0 SE-L NAV 4d 143 BHP Saloon,7500,Manual,51.4,Petrol,2013,1998.0,71470,RED,Saloon,11,Mazda, Mazda6
1.5 SE-L 5d 74 BHP Hatchback,7500,Manual,60.1,Petrol,2015,1496.0,49000,RED,Hatchback,9,Mazda, Mazda2
1.5 75 SE-L 5dr Hatchback,7536,Manual,60.1,Petrol,2017,1500.0,56509,Blue,Hatchback,7,Mazda, Mazda2
5 1.8 I SE 2d 125 BHP Convertible,7650,Manual,40.4,Petrol,2010,1798.0,79882,Red,Convertible,14,Mazda, MX-5
2.2 D SPORT NAV 5d 148 BHP Estate,7651,Manual,61.4,Diesel,2013,2191.0,76874,GREY,Estate,11,Mazda, CX-5
1.5 SE-L 5d 74 BHP Hatchback,7670,Manual,60.1,Petrol,2016,1496.0,50737,WHITE,Hatchback,8,Mazda, MADZA2
1.5 SE 5d Hatchback,7680,Manual,60.1,Petrol,2016,1496.0,59000,RED,Hatchback,8,Mazda, MADZA2
2.0 SKYACTIV-G Sport Nav Euro 5 (s/s) 5dr Hatchback,7680,Manual,48.7,Petrol,2014,1998.0,80640,Red,Hatchback,10,Mazda, Mazda3
1.6 Takuya 5dr JUST 10,7695,Manual,43.5,Petrol,2011,1598.0,10000,Red,Hatchback,13,Mazda, Mazda3
1.8i SE 2dr Convertible,7695,Manual,39.8,Petrol,2011,1798.0,30935,Blue,Convertible,13,Mazda, MX-5
1.5 SE-L NAV 5d 89 BHP Hatchback,7695,Manual,62.8,Petrol,2016,1496.0,34000,SILVER,Hatchback,8,Mazda, Mazda2
1.5 SKYACTIV-G Sport Euro 6 (s/s) 5dr ONE OWNER,7695,Manual,62.8,Petrol,2015,1496.0,58140,Red,Hatchback,9,Mazda, Mazda2
1.5 SPORT NAV 5d 113 BHP Hatchback,7695,Manual,56.5,Petrol,2015,1496.0,59909,BLUE,Hatchback,9,Mazda, MADZA2
Mazda Hatchback Special Editions Sport Black Hatchback,7695,Manual,62.8,Petrol,2016,1500.0,71164,White,Hatchback,8,Mazda, Mazda2
1.8 I ROADSTER SE 2d 125 BHP Convertible,7719,Manual,39.8,Petrol,2011,1800.0,28000,Black,Convertible,13,Mazda, MX-5
2.2 SKYACTIV-D Sport Nav Euro 6 (s/s) 4dr Saloon,7740,Manual,67.3,Diesel,2014,2191.0,70453,Blue,Saloon,10,Mazda, Mazda6
2.0 Sport Nav 5dr Hatchback,7744,Manual,55.4,Petrol,2015,2000.0,84300,Red,Hatchback,9,Mazda, Mazda3
1.3 Venture Hatchback 5dr Petrol Manual Euro 5 (84 ps) Hatchback,7750,Manual,56.5,Petrol,2013,1349.0,24000,Red,Hatchback,11,Mazda, MADZA2
2.0 I ROADSTER SPORT 2d 160 BHP Convertible,7750,Manual,34.5,Petrol,2007,1999.0,49000,RED,Convertible,17,Mazda, MX-5
2.0 SKYACTIV-G SE-L Nav Hatchback,7795,Manual,55.4,Petrol,2016,1998.0,90560,Grey,Hatchback,8,Mazda, Mazda3
2.2 SKYACTIV-D SE-L Nav Auto Euro 6 (s/s) 5dr AUTOMATIC MODEL SUV,7795,Automatic,53.3,Diesel,2013,2191.0,114000,White,SUV,11,Mazda, CX-5
1.5 75 SE 5dr Hatchback,7844,Manual,60.1,Petrol,2015,1500.0,38699,Blue,Hatchback,9,Mazda, Mazda2
2.2 SKYACTIV-D SE-L Nav Estate,7890,Manual,67.3,Diesel,2016,2191.0,88200,Black,Estate,8,Mazda, Mazda6
2.0 SKYACTIV-G SE-L Euro 5 (s/s) 4dr Saloon,7895,Manual,51.4,Petrol,2014,1998.0,55820,Silver,Saloon,10,Mazda, Mazda6
2.0 SPORT NAV 4d 118 BHP Saloon,7895,Manual,55.4,Petrol,2015,1998.0,77033,GREY,Saloon,9,Mazda, MADZA3
5 Convertible,7923,Manual,37.2,Petrol,2013,1999.0,88866,Grey,Convertible,11,Mazda, MX-5
5 2.0 i Miyako Convertible,7950,Manual,38.2,Petrol,2011,1999.0,65122,Silver,Convertible,13,Mazda, MX-5
2.0 SPORT NAV 5d 118 BHP Hatchback,7950,Manual,47.9,Petrol,2015,1998.0,108450,RED,Hatchback,9,Mazda, CX-3
1.5 115 Sport Nav 5dr Hatchback,7957,Manual,56.5,Petrol,2016,1500.0,40703,Blue,Hatchback,8,Mazda, Mazda2
1.3 VENTURE EDITION 5DR Manual Hatchback,7989,Manual,56.5,Petrol,2013,1349.0,16884,BURGUNDY RED METALLIC,Hatchback,11,Mazda, Mazda2
5 2.0 I SE 2DR Manual YES 22K ONLY,7990,Manual,38.2,Petrol,2010,1999.0,22000,Silver,Convertible,14,Mazda, MX-5
2.2 D SPORT NAV 5d 173 BHP Estate,7990,Manual,54.3,Diesel,2013,2191.0,76998,BLACK,Estate,11,Mazda, CX-5
2.0 SE-L NAV 5d 118 BHP Hatchback,7990,Manual,47.9,Petrol,2016,1998.0,79055,BLUE,Hatchback,8,Mazda, CX-3
Saloon,7990,Manual,55.4,Diesel,2019,2200.0,117298,Grey,Saloon,5,Mazda, Mazda6
2.2 SKYACTIV-D Sport Nav Tourer Auto Euro 6 (s/s) 5dr Estate,7994,Automatic,57.6,Diesel,2016,2191.0,98950,Red,Estate,8,Mazda, Mazda6
Mazda Hatchback Special Edition Sport Colour Edition Hatchback,7995,Manual,56.5,Petrol,2014,1300.0,21360,Red,Hatchback,10,Mazda, Mazda2
Convertible Special Edition Miyako Convertible,7995,Manual,40.4,Petrol,2010,1800.0,27000,Red,Convertible,14,Mazda, MX-5
1.5 75 SE-L 5dr Hatchback,7995,Manual,60.1,Petrol,2015,1500.0,27800,Blue,Hatchback,9,Mazda, Mazda2
5 1.8i SE Roadster Euro 4 2dr Other,7995,Manual,39.8,Petrol,2011,1798.0,32000,Grey,Other,13,Mazda, MX-5
2.0i SE 2dr Other,7995,Manual,38.2,Petrol,2009,1999.0,34000,Red,Other,15,Mazda, MX-5
2.0 Sport Euro 5 (s/s) 5dr MPV,7995,Manual,40.9,Petrol,2011,1999.0,45800,Black,MPV,13,Mazda, Mazda5
1.6 TAKUYA Hatchback,7995,Manual,43.5,Petrol,2011,1600.0,46000,Onyx Black Metallic,Hatchback,13,Mazda, Mazda3
5 1.8 i SE Convertible,7995,Manual,39.8,Petrol,2012,1798.0,46000,Red,Convertible,12,Mazda, MX-5
Convertible,7995,Manual,39.8,Petrol,2012,1800.0,50411,Silver,Convertible,12,Mazda, MX-5
1.5 SE-L 5d 89 BHP Hatchback,7995,Manual,62.8,Petrol,2015,1496.0,50462,BLUE,Hatchback,9,Mazda, Mazda2
2.2 D SPORT NAV 4d 148 BHP Saloon,7995,Manual,72.4,Diesel,2015,2191.0,61350,BLUE,Saloon,9,Mazda, Mazda6
1.8 I SE 2d 125 BHP Convertible,7995,Manual,39.8,Petrol,2015,1798.0,65000,BLACK,Convertible,9,Mazda, MX-5
Convertible,7995,Manual,39.8,Petrol,2012,1800.0,65617,Silver,Convertible,12,Mazda, MX-5
5 2.0 MIYAKO ROADSTER I 2d 158 BHP Convertible,7995,Manual,38.2,Petrol,2011,1999.0,67000,SILVER,Convertible,13,Mazda, MX-5
2.0 SKYACTIV-G SE-L Nav Hatchback,7995,Manual,55.4,Petrol,2015,1998.0,67000,Silver,Hatchback,9,Mazda, Mazda3
1.5 Sport Black 5dr Hatchback,7995,Manual,62.8,Petrol,2016,1496.0,67000,White,Hatchback,8,Mazda, Mazda2
2.0 SPORT NAV 4d 118 BHP Saloon,7995,Manual,55.4,Petrol,2015,1998.0,67834,RED,Saloon,9,Mazda, Mazda3
2.0 SE-L 5d 118 BHP Hatchback,7995,Manual,55.4,Petrol,2015,1998.0,70000,SILVER,Hatchback,9,Mazda, MADZA3
1.5 SKYACTIV-D SE-L Nav Euro 6 (s/s) 5dr Hatchback,7995,Manual,74.3,Diesel,2017,1499.0,71000,Blue,Hatchback,7,Mazda, MADZA3
2.2 D SPORT NAV 4d 148 BHP Saloon,7995,Manual,72.4,Diesel,2016,2191.0,77146,BLACK,Saloon,8,Mazda, Mazda6
Hatchback,7995,Manual,62.8,Petrol,2015,1500.0,78000,White,Hatchback,9,Mazda, Mazda2
SUV,7995,Manual,54.3,Diesel,2014,2200.0,87666,Black,SUV,10,Mazda, CX-5
5 Convertible,7995,Manual,37.2,Petrol,2012,1999.0,87736,Blue,Convertible,12,Mazda, MX-5
2.2d Sport Nav 5dr Hatchback,7995,Manual,68.9,Diesel,2015,2191.0,92000,White,Hatchback,9,Mazda, MADZA3
2.2 D SE-L LUX 5d 148 BHP Estate,7995,Manual,61.4,Diesel,2014,2191.0,94500,BLUE,Estate,10,Mazda, CX-5
2.0 SE-L NAV 5d 118 BHP Hatchback,7995,Manual,55.4,Petrol,2016,2000.0,95500,Grey,Hatchback,8,Mazda, Mazda3
2.2 D SPORT NAV 5d 173 BHP Estate,7995,Automatic,57.6,Diesel,2015,2184.0,95830,WHITE,Estate,9,Mazda, Mazda6
2014 MAZDA CX5 2.2 SKYACTIV-D SE L NAV AUTO 5DR DIESEL SUV ** FULLY LOADED ** + ULEZ FREE SUV,7995,Automatic,53.3,Diesel,2014,2191.0,97000,Grey,SUV,10,Mazda, CX-5
D SPORT NAV Estate,7995,Manual,61.4,Diesel,2016,2191.0,97415,Blue,Estate,8,Mazda, CX-5
2.0 Sport Nav 5dr Estate,7995,Manual,47.1,Petrol,2013,1998.0,99350,Red,Estate,11,Mazda, CX-5
D SE-L LUX NAV Estate,7995,Manual,61.4,Diesel,2016,2191.0,101340,Blue,Estate,8,Mazda, CX-5
2.0 Sport Euro 5 (s/s) 5dr MPV,7995,Manual,40.9,Petrol,2010,1999.0,36078,Blue,MPV,14,Mazda, Mazda5
2.2 SKYACTIV-D Sport Nav Auto 4WD Euro 6 (s/s) 5dr SUV,7995,Automatic,51.4,Diesel,2014,2184.0,91000,Grey,SUV,10,Mazda, CX-5
1.5 75 SE 5dr Hatchback,7999,Manual,60.1,Petrol,2016,1496.0,58141,Red,Hatchback,8,Mazda, Mazda2
2.2d Sport Nav 4dr Saloon,7999,Manual,72.4,Diesel,2017,2200.0,61508,White,Saloon,7,Mazda, Mazda6
2.0 SPORT NAV 5d 118 BHP Hatchback,7999,Manual,55.4,Petrol,2015,2000.0,79205,Red,Hatchback,9,Mazda, Mazda3
5 2.0i Sport Tech 2dr Convertible,7999,Manual,37.2,Petrol,2010,1999.0,39000,Red,Convertible,14,Mazda, MX-5
1.3 TAMURA 5d 83 BHP PETROL MANUAL Hatchback,8000,Manual,56.5,Petrol,2013,1349.0,12000,SILVER,Hatchback,11,Mazda, MADZA2
1.3 Venture Edition 5dr Hatchback,8000,Manual,56.5,Petrol,2013,1349.0,44513,Red,Hatchback,11,Mazda, Mazda2
1.5 D SE-L 5d 104 BHP Hatchback,8150,Manual,70.6,Diesel,2016,1497.0,101548,Red,Hatchback,8,Mazda, CX-3
2.0 SKYACTIV-G SE Nav Saloon,8190,Manual,51.4,Petrol,2014,1998.0,61640,Black,Saloon,10,Mazda, Mazda6
1.5 75 SE-L 5dr Hatchback,8200,Manual,60.1,Petrol,2015,1500.0,34791,Silver,Hatchback,9,Mazda, Mazda2
1.6d Sport Venture Euro 5 5dr 1 OWNER/ 9 STAMPS/ NAV-CAMERA MPV,8250,Manual,54.3,Diesel,2014,1560.0,57336,Grey,MPV,10,Mazda, Mazda5
2.0 SE 5d 118 BHP Hatchback,8250,Manual,55.4,Petrol,2015,2000.0,75800,White,Hatchback,9,Mazda, Mazda3
2.3L MPS AERO SPORTS 5d 247 BHP Hatchback,8250,Manual,29.1,Petrol,2008,2261.0,100000,RED,Hatchback,16,Mazda, Mazda3
1.3 Venture Euro 5 5dr LOW MILEAGE,8295,Manual,56.5,Petrol,2013,1349.0,21327,Blue,Hatchback,11,Mazda, Mazda2
5 Convertible,8295,Manual,37.2,Petrol,2012,1999.0,44700,Silver,Convertible,12,Mazda, MX-5
Hatchback,8295,Manual,62.8,Petrol,2016,1496.0,61811,Grey,Hatchback,8,Mazda, Mazda2
2.0 SKYACTIV-G Sport Nav Euro 6 (s/s) 5dr Hatchback,8295,Manual,55.4,Petrol,2015,1998.0,77000,Red,Hatchback,9,Mazda, Mazda3
1.5 SPORT BLACK 5DR Hatchback,8299,Manual,62.8,Petrol,2015,1496.0,38096,Red,Hatchback,9,Mazda, Mazda2
1.5 SPORT BLACK 5d 89 BHP Hatchback,8299,Manual,62.8,Petrol,2016,1496.0,66253,WHITE,Hatchback,8,Mazda, Mazda2
2.2 D SPORT NAV 5d 173 BHP Estate,8395,Manual,54.3,Diesel,2015,2191.0,104423,RED,Estate,9,Mazda, CX-5
5 1.8 I VENTURE EDITION 2dr Convertible,8399,Manual,39.8,Petrol,2013,1798.0,35000,BLACK,Convertible,11,Mazda, MX-5
1.5 SKYACTIV-G SE-L Hatchback 5dr Petrol Manual Euro 6 (s/s) (75 ps) Bluetooth,8400,Manual,60.1,Petrol,2017,1496.0,37403,Silver,Hatchback,7,Mazda, Mazda2
2.2d Sport Nav 5dr Estate,8400,Manual,61.4,Diesel,2013,2191.0,68000,Grey,Estate,11,Mazda, CX-5
2.2 SKYACTIV-D Sport Nav Saloon,8400,Manual,72.4,Diesel,2016,2191.0,75500,Black,Saloon,8,Mazda, Mazda6
SPORT NAV Hatchback,8450,Manual,62.8,Petrol,2015,1496.0,64000,Blue,Hatchback,9,Mazda, Mazda2
2.0 SKYACTIV-G Sport Nav SUV,8450,Manual,47.1,Petrol,2014,1997.0,100000,Red,SUV,10,Mazda, CX-5
1.5 SPORT BLACK 5d 89 BHP Hatchback,8490,Manual,62.8,Petrol,2015,1496.0,47257,RED,Hatchback,9,Mazda, MADZA2
2.0 SE-L NAV 5dr Hatchback,8490,Manual,55.4,Petrol,2016,1998.0,58086,RED,Hatchback,8,Mazda, Mazda3
1.5d Sport Nav 5dr £0 Sat Nav Reverse Camera Bluetooth ULEZ Compliant Hatchback,8490,Manual,74.3,Diesel,2016,1498.0,58674,Red,Hatchback,8,Mazda, Mazda3
D SPORT NAV 5-Door Estate,8490,Manual,61.4,Diesel,2014,2180.0,80100,Red,Estate,10,Mazda, Mazda6
2.2 D SPORT NAV 5d 173 BHP Estate,8490,Manual,54.3,Diesel,2015,2191.0,83000,Red,Estate,9,Mazda, CX-5
2.2 D SPORT NAV 5d 173 BHP Estate,8490,Automatic,51.4,Diesel,2013,2191.0,95000,GREY,Estate,11,Mazda, CX-5
1.5 D SPORT NAV 5d 104 BHP Hatchback,8490,Manual,70.6,Diesel,2016,1497.0,95000,BLUE,Hatchback,8,Mazda, CX-3
1.4 TAMURA Hatchback,8495,Manual,56.5,Petrol,2013,1300.0,24000,Polar Silver Metallic,Hatchback,11,Mazda, Mazda2
5 SE 1.8i Convertible Convertible,8495,Manual,39.8,Petrol,2013,1798.0,28000,Red,Convertible,11,Mazda, MX-5
1.5 SE PLUS 5d 74 BHP Hatchback,8495,Manual,49.6,Petrol,2018,1498.0,41500,WHITE,Hatchback,6,Mazda, MADZA2
1.8i Kendo 2dr Other,8495,Manual,39.8,Petrol,2011,1798.0,47000,Black,Other,13,Mazda, MX-5
2.2 SKYACTIV-D Sport Nav Tourer Euro 6 (s/s) 5dr Estate,8495,Manual,64.2,Diesel,2014,2191.0,67665,Grey,Estate,10,Mazda, Mazda6
1.5 SKYACTIV-D Sport Nav 4WD SUV,8495,Manual,60.1,Diesel,2016,1499.0,75053,Blue,SUV,8,Mazda, CX-3
D SPORT NAV Saloon,8495,Manual,72.4,Diesel,2016,2191.0,76281,White,Saloon,8,Mazda, Mazda3
Estate,8495,Automatic,57.6,Diesel,2015,2191.0,93000,Grey,Estate,9,Mazda, Mazda6
D SPORT NAV SUV,8495,Manual,61.4,Diesel,2015,2191.0,115454,White,SUV,9,Mazda, CX-5
